Field,Value
Client,Harborstone Manufacturing
Project,Electrical Reliability Audit
Project Code,HM-ELE-REL-AUD-2021
Access Request Number,AR-2021-06P
Purchase Order Number,PO-2021-061
Date,2021-06-21
Requested By,Axis Shutdown Support
Site,Port Melville Works
Workers,"Alyssa Tran, Jordan Pike, Marco Singh"
Request,"Issue temporary access, plant induction confirmation, and permit office approval for shutdown execution window."
Approval,Approved by Harborstone Manufacturing permit office subject to daily pre-start and escorted entry for LV room isolation checks.
